Date,Open,High,Low,Close,Volume
01/21/2020 19:07,316.8123,316.85,316.71,316.755,29707
01/21/2020 19:08,316.75,316.9219,316.7173,316.9219,58840
01/21/2020 19:09,316.9219,317.0715,316.9179,317.05,48749
01/21/2020 19:10,317.05,317.1898,317.04,317.1783,36139
01/21/2020 19:11,317.1783,317.25,317.1,317.1649,27627
01/21/2020 19:12,317.1649,317.27,317.16,317.2201,31897
01/21/2020 19:13,317.2201,317.2523,317.1,317.16,36317
01/21/2020 19:14,317.16,317.16,317.02,317.02,54215
01/21/2020 19:15,317.02,317.12,316.93,317.05,36650
01/21/2020 19:16,317.021,317.18,317,317.1438,24383
01/21/2020 19:17,317.14,317.18,317.0201,317.15,16391
01/21/2020 19:18,317.15,317.16,317.02,317.02,23512
01/21/2020 19:19,317.02,317.06,316.8,316.87,58928
01/21/2020 19:20,316.87,316.885,316.775,316.8337,19801
01/21/2020 19:21,316.8337,316.87,316.699,316.7684,29453
01/21/2020 19:22,316.7684,316.78,316.62,316.6223,29400
01/21/2020 19:23,316.6432,316.78,316.6,316.78,53222
01/21/2020 19:24,316.78,316.78,316.53,316.5804,44039
01/21/2020 19:25,316.5804,316.6499,316.55,316.58,25519
01/21/2020 19:26,316.5628,316.59,316.38,316.495,87776
01/21/2020 19:27,316.495,316.61,316.46,316.535,36956
01/21/2020 19:28,316.5338,316.6,316.47,316.6,46188
01/21/2020 19:29,316.6,316.65,316.51,316.55,47114
01/21/2020 19:30,316.55,316.68,316.54,316.575,23928
01/21/2020 19:31,316.575,316.65,316.52,316.54,24665
01/21/2020 19:32,316.535,316.58,316.435,316.465,41589
01/21/2020 19:33,316.465,316.58,316.37,316.5085,41753
01/21/2020 19:34,316.5085,316.54,316.38,316.419,35239
01/21/2020 19:35,316.41,316.44,316.2571,316.38,51599
01/21/2020 19:36,316.38,316.6,316.35,316.57,53422
01/21/2020 19:37,316.58,316.66,316.55,316.66,84511
01/21/2020 19:38,316.66,316.7389,316.61,316.7,29382
01/21/2020 19:39,316.7,316.7399,316.66,316.662,30682
01/21/2020 19:40,316.662,316.6799,316.5701,316.63,22587
01/21/2020 19:41,316.63,316.71,316.62,316.62,21318
01/21/2020 19:42,316.62,316.65,316.55,316.6164,29797
01/21/2020 19:43,316.6164,316.67,316.53,316.59,27050
01/21/2020 19:44,316.5715,316.6001,316.52,316.52,19552
01/21/2020 19:45,316.52,316.61,316.46,316.542,40104
01/21/2020 19:46,316.5364,316.57,316.46,316.5,23073
01/21/2020 19:47,316.5,316.6,316.49,316.51,22163
01/21/2020 19:48,316.51,316.53,316.28,316.3398,80273
01/21/2020 19:49,316.3398,316.5,316.3,316.44,34101
01/21/2020 19:50,316.44,316.6,316.38,316.5633,48100
01/21/2020 19:51,316.5633,316.62,316.42,316.5286,33237
01/21/2020 19:52,316.5216,316.56,316.46,316.5,24083
01/21/2020 19:53,316.5,316.72,316.48,316.7062,48995
01/21/2020 19:54,316.7062,316.8948,316.7,316.81,61211
01/21/2020 19:55,316.8196,316.85,316.81,316.845,28308
01/21/2020 19:56,316.845,316.92,316.82,316.84,44856
01/21/2020 19:57,316.84,316.94,316.82,316.92,33567
01/21/2020 19:58,316.92,317,316.92,316.95,30143
01/21/2020 19:59,316.95,316.99,316.85,316.98,26935
01/21/2020 20:00,316.98,317.08,316.88,317.0078,45030
01/21/2020 20:01,317.0078,317.1,316.9502,317.0099,58277
01/21/2020 20:02,317.0099,317.09,316.95,317.03,39473
01/21/2020 20:03,317.03,317.18,316.99,317.18,33845
01/21/2020 20:04,317.1817,317.23,317.1,317.1191,75857
01/21/2020 20:05,317.13,317.16,317.0815,317.1499,24912
01/21/2020 20:06,317.1499,317.15,317.0301,317.0837,21135
01/21/2020 20:07,317.0837,317.12,317,317.07,24511
01/21/2020 20:08,317.07,317.11,317.04,317.0441,21038
01/21/2020 20:09,317.0441,317.13,316.98,317.025,45507
01/21/2020 20:10,317.02,317.09,316.86,316.86,42533
01/21/2020 20:11,316.86,317.02,316.8301,316.92,37517
01/21/2020 20:12,316.9519,316.973,316.87,316.925,23904
01/21/2020 20:13,316.925,316.98,316.916,316.96,24534
01/21/2020 20:14,316.96,316.9744,316.87,316.9,25096
01/21/2020 20:15,316.9,316.95,316.86,316.95,20363
01/21/2020 20:16,316.95,317,316.9,316.9197,42155
01/21/2020 20:17,316.9197,317,316.88,316.99,30929
01/21/2020 20:18,316.99,317,316.9,316.9199,33280
01/21/2020 20:19,316.9199,316.92,316.74,316.8099,41969
01/21/2020 20:20,316.8099,316.85,316.74,316.8,28661
01/21/2020 20:21,316.8,316.8543,316.8,316.8299,26454
